,title,content
0,2022년에는 열차 지연이 없게 해주세요,2022년에는 1~8호선 모든 열차가 정시 출도착할 수 있게해 주세요! 서울교통공사 홧팅~
1,2022년엔 항상 안전운행하고 열차 사고 및 지연이 없기를 바랍니다.,제목 그대로 입니다!2022년에는 항상 안전운행을 유지될 수 있도록 진심으로 바랍니다. 또한 관계자분들과 승객분들이 서로 불편한점 없이 열차 사고 및 지연이 제로가 될 수 있기를 진심으로 바랍니다.감사합니다.다가오는 2021년 연말.미리 인사 드립니다. 한 해동안 수고 많았습니다.
2,2022년 화이팅,2022년에도 안전운행 부탁드립니다올한해도 고생많으셨습니다
3,지하철 이용하는 사람들 모두 행복한 일만 가득했으면 좋겠어요,새해는 지하철 이용하는 사람들 모두 행복한 일만 가득했으면 좋겠어요홧팅
4,안전최고! 행복최고!,2022년에는 안전한 운행으로 행복한 2022년을 만들어 갑시다!
5,2022 화이팅!,"2022년에는 승객들이 더욱 안전하고 질서있게 이용하는 지하철이 됐으면 좋겠어요잡상인, 임산부, 노약자석에 대한 관리가 더욱 강화되었으면 합니다 !2022년도 화이팅 !!"
6,"☆올해도 수고많으셨고, 내년에도 서울교통공사 또타화이팅☆","올해는 코로나19로 인해 지하철 이용하기가 불편하고 걱정스러운면이 있었습니다.그러나 걱정은 잠시뿐 항상 마스크착용 안내방송이 흘러나오고, 소독도 열심히 해주시는 모습을 보며안심하고 지하철을 이용하게 되었습니다.2022년에도 깨끗하고 안전한열차 타게해주세요~서울교통공사 직원 여러분들 시민을 위해 노력해주셔서 감사합니다*^^*"
7,자랑스런 서울지하철,세계최고 서울지하철~ 너무 자랑스럽습니다~
8,올한해도 수고많으셨습니다,"<form name=""actionForm"" id=""actionForm"" method=""post"" action=""https://www.seoulmetro.co.kr:444/kr/board.do?menuIdx=857&bbsIdx=2212858"" style=""margin: 0px; padding: 0px; border: 0px; font-family: YoonWriting, sans-serif; caret-color: rgb(85, 85, 85); color: rgb(85, 85, 85); font-size: 15px; font-style: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; orphans: auto; text-align: right; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-tap-highlight-color: rgba(26, 26, 26, 0.3); -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;""></form>올해는 코로나19로 인해 지하철 이용하기가 많이 불편했는데항상 마스크착용 안내방송이 흘러나오고, 소독도 열심히해주시고 그래도 걱정을 덜하고지하철을 이용하게 되었습니다.2022년에도 방역 철저히 잘 해주시고 신경 많이 써주셔서 시민들이 안전하게 타고 다닐 수 있도록 해주세요서울교통공사 직원분들감사합니다*^^*"
9,서울지하철 화이팅,수고가 많으십니다
10,노인 무임승차 손실 국가보전,초고령화시대를 앞두고 있는 현실 속에서공사의 재정건정성을 저해하는노인 무임승차로 인한 손실을 반드시 국가에서 보전받고더 탄탄한 서울교통공사로 거듭나기를 기원합니다!
11,역직원분들께 감사드립니다,"역을 이용하면서 항상 느끼는데 직원분들이 친절하시고 열심히 일하시는 것 같았어요!2022년에도 새해 복 많이 받으시고, 빠르고 안전한 지하철 만들어주세요!"
12,안전운전! 항상 감사드립니다.,"항상 안전하게 운전해주셔서 감사드리며, 모든분들 건강하시고 새해에는 행복한 일들이 많아 졌으면 좋겠습니다."
13,서울지하철 파이팅!,파이팅입니다!!
14,2022년에도 시민들을 위한 안전한 운행 부탁드립니다,뚜벅이로서 지하철을 매번 이용하는 승객입니다. 이른새벽부터 밤까지 안전운행을 위해 힘쓰시는 모든 직원분들에 노고에 감사드립니다. 2022년도 무사고로 힘찬 운행을 바랍니다~! 열차안에서에 물건을 사고파는 일이 아직도 있는데 내년에는 많이 없어졌으면 좋겠습니다~ 불편을 신고하는 창고인 앱도 활성화되면 좋을것 같습니다~!
15,서울시민분들의 교통권을 위해서 힘써주셔서 진심으로 감사드립니다!,코로나임에 불구하고서울시민분들의 교통권을 위해서 힘써주셔서 진심으로 감사드립니다!항상 고객들을 위해서 진심으로 대해주시는 그 마음 잊지 않고항상 감사하며 존경하는 마음을 가지고 살아갈게요!서울교통공사 임직원 여러분 진심으로 감사드리고 항상 건강하셨으면 합니다!진심으로 감사드립니다!
16,응원합니다,항상 안전한 열차운행해주시고 2022년 응원합니다!
17,승객과 직원모두 서로를 존중하길 바랍니다.,"안녕하세요,출, 퇴근길을비롯하여 평소에도 지하철을 자주 이용하고 있습니다.임신부가 아닌데, 임신부석에 앉아 있는 승객이나, 마스크 미착용 승객이 보일 경우 문자로 제보를 하곤 합니다.곧 안내방송이 나오고 해당 승객이 자리에서 일어나거나 마스크를 제대로착용하는경우도 있습니다만, 그렇지 않을 때도 있어요.출근길에 지하철을 이용하는 승객 모두 많이 피곤하고 힘듭니다. 물론역무원분들도그럴것이고요.우리 모두 직장으로 출근하는 평범한사람들이잖아요.코로나19로스트레스가 많겠지만 서로를 조금씩 더배려 하고존중했으면 합니다.2022년에도 지하철을 이용하는 모든 시민분들, 그리고 안전한 지하철을 만들기 위해 노력하는역무원분들과관계자분들.모두 웃는 일 많은 한 해가되길 바라봅니다."
18,수고 많이 하셨습니다 ^^,어려운 시기에 방역에까지 신경쓰며 시민의 발이 되어 주시느라 한해 정말 고생 많이하셨습니다. 세계인이 칭찬하는 교통씨스템이지만 시민의 목소리를 귀담아 작은 불편 하나라도 잡아 더 편리하고 산전한 교통문화를 만들어 주시면 감사하겠습니다 ^^
19,안전한 열차,새벽부터 저녁늦게까지 열차를 운행하시느라 수고하십니다. 힘드실텐데 항상 웃고 친절히 대해주시는모습에서 뭉클함이 있을때도 있습니다. 내년에도 변하지 않는 모습 보여주세요.
20,DJ가 된 기관사님의 공감 운행 고맙습니다.,"운좋게 퇴근무렵 열차에서 직원분이 하루를 마감하는 멘트를 안내 방송으로 하실 때가 있어요.마치 라디오를 듣고 있는 듯 하루를 마치는 소소한 이야기가 마음을 파고들곤 해요.""나한테 하는 말 아니야?"" 하고 말입니다.올 한해 서울교통공사를 이용한 모든 분들과 서울교통공사 가족 여러분!코로나로, 또 다른 저마다의 이유와 사연 등으로 살아가느라 살아내시느라 고생 많으셨습니다.""고맙습니다.""다가오는 2022년에도 마음을 채워줄 라디오 방송 같은 열차 운행 부탁드립니다."
21,감사합니다,항상 열심히 일해주시니 감사합니다앞으로도 응원합니다
22,감사합니다.,시민의 발이되어 안전운행과 국민의 안전을위해 사명을 다해주셔서 감사드리고 2022년에도 안전한 사회를 위해 최선을 다해주시면 감사하겠습니다.서울교통공사에 종사하시는분들께도 행운과행복이 함께하는 2022년이되시길 응원합니다.!!
23,임산부 배려,"2021년은 임산부 배려에 대한 캠페인이 조금 부족하지 않았나 생각해요.계속 홍보해도 효과가 미미하긴 하지만,그래도 꾸준히 홍보해야만 조금씩 변하지 않을까 생각해요."
24,국민의 다리,항상 국민들 출퇴근을 책임져주는 서울교통공사 응원합니다.새벽에 시작하여 저녁 늦게 끝나는 서울교통공사 모든직원분들 항상 감사하고 응원합니다.
25,응원합니다,시민들의 발이 되어주는 서울 교통 공사 응원해요
26,서울메트로 화이팅♡♡,항상 고생이 많으십니다내년에는 지하철에 유모차를 세울수있는칸도 만들어졌으면좋겠네요^^건강하세요.♡
27,서울교통공사에 항상 감사드립니다.,일적으로 서울에 갈 일이 많은데 지방에 살아서 거의 대부뷰 열차를 타고 서울을 방문합니다.안전하고 쾌적하게 열차를 이용할 수 있도록 애써주시는 서울교통공사에 진심으로 감사드립니다.덕분에 편하고 안전하게 잘 이용할 수 있네요.앞으로도 승객들을 위해 애써주실 서울교통공사를 응원하겠습니다 화이팅!
28,서로가 배려하는 문화,"조금은 몸이 불편하시분, 혹인 임산부 그리고 노인분들 등사회적 약자이신 분들에게 우리 모두 배려하는 습관을 가지고,아무리 복잡하고 바쁘더라도 그분들에게 자리를 양보할 수 있기를 바랍니다!"
29,서울 시민의 발이 되어주셔서 감사합니다!,항상 수고하시는 직원분들 화이팅!아직도 가끔 열차에 몸을 던져서 자살 시도하시는 분들이 있는데 운행 중에 이를 목격하는 기관사님들에게 충분한 심리 상담과 지원이 뒷받침되었으면 좋겠어요 감사합니다!
30,22년은 모두가 조금씩 서로를 배려하는 한 해가 되었으면 좋겠습니다.,"종종 막말을 하거나 마스크를 착용하지 않거나 다른 자리를 두고도 임산부 배려석에 앉거나 하는 분들을 보고는 하는데,서로가 조금씩 배려하며 역을 이용할 수 있으면 좋겠습니다.병환자, 장애인, 노인, 어린아이, 임산부 등 열차를 이용하는 약자들을 배려하자는 의미의 포스터를 조금 더 눈에 띄는 곳에 부착하면 어떨까요?"
31,응원해요!,언제나 시민의 빠른 발이되어주셔셔 너무나 감사합니다앞으로도 감사한 마음으로 이용하겠습니다!
32,미소가 지어지는 서울교통공사,다가오는 새해에도시민의 발이되어주셔서 부디 밝고 생생한 교통상황을 매일 들었으면합니다^^ 대중교통을 많이 이용하는 시민중 하나로 좀 더 쾌적하고 누구나 '서울교통공사'하면 미소가 지어지는 그런 한해가 되길 응원하겠습니다
33,조금 더 청결했으면 좋겠습니다.,평소 지하철을 잘 이용하고 있습니다.시민의 발이 되어주는 서울교통공사 매번 감사합니다~다만 가끔 열차 안에서 꿉꿉한 냄새가 날 때가 있습니다.열차 안이 조금 더 쾌적한 공간이 되었으면 좋겠습니다.
