자치구 기준일,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,전체 합계
2022년 3월,26955,24391,39948,60090,70714,69378,76716,86479,55322,60909,101324,89290,60862,72285,86305,111209,80998,47696,81957,78000,97142,76203,96021,128822,89107,1868123
2022년 2월,6310,5548,9872,15423,18404,16835,18563,21192,13579,15332,25160,21225,13268,18664,21752,27816,18720,10535,18477,19719,23784,20096,26974,34449,25128,466825
2022년 1월,754,768,1424,1433,2017,1842,1780,2069,1110,1301,2507,1782,1545,2010,2253,2177,2032,1059,1949,1973,2968,2374,3460,3388,2154,48129
2021년 12월,1200,991,1478,1591,2072,3253,2863,3139,2259,2492,3340,3105,2052,2278,2720,3495,2878,1891,3059,2590,3271,2489,3323,4252,2919,65000
2021년 11월,618,585,630,800,922,1584,1214,1698,1134,1048,1570,1520,902,969,1426,1733,1935,1137,1932,1381,1732,1048,1218,1947,1519,32202
2021년 10월,509,359,433,454,514,1008,639,840,646,548,797,730,438,570,492,716,1575,665,1019,671,805,480,935,1016,950,17809
2021년 9월,401,539,412,587,877,917,668,746,555,519,718,927,539,753,614,890,1413,586,1127,705,1062,659,1243,1678,866,20001
2021년 8월,226,254,445,361,522,423,523,517,330,241,413,709,518,719,585,645,616,375,836,674,1009,668,1245,904,447,14205
2021년 7월,198,196,478,485,467,377,418,489,354,373,562,539,405,641,408,569,554,317,648,726,1102,772,1276,830,522,13706
2021년 6월,63,77,238,227,232,189,178,232,166,107,241,210,156,253,181,205,160,105,262,220,256,339,755,416,269,5737
2021년 5월,78,83,166,169,208,243,277,261,254,218,351,229,179,169,163,192,183,144,248,220,235,269,518,445,319,5821
2021년 4월,60,65,106,191,241,252,340,205,135,179,258,340,102,170,177,217,144,85,204,275,301,355,439,389,252,5482
2021년 3월,63,79,131,139,253,114,188,137,122,113,212,223,64,101,114,125,123,25,127,172,123,158,222,191,249,3568
2021년 2월,42,88,235,119,153,178,167,208,123,140,185,154,98,101,138,99,237,71,172,150,186,111,124,210,158,3647
2021년 1월,122,74,106,141,125,222,219,211,186,182,217,201,152,159,233,216,184,74,194,215,171,142,225,252,183,4406
2020년 12월,267,174,192,225,277,323,491,347,235,246,334,417,248,402,411,737,346,197,390,406,470,359,428,501,303,8726
2020년 11월,31,42,81,81,39,126,82,107,37,84,138,92,120,98,110,291,69,25,82,124,69,233,158,212,69,2600
2020년 10월,7,7,21,21,11,27,22,17,15,22,32,16,11,26,13,21,22,7,18,28,90,34,74,54,20,636
2020년 9월,25,8,22,28,33,32,46,54,38,74,71,68,34,32,37,72,30,19,52,59,139,57,95,80,43,1248
2020년 8월,35,30,46,31,74,73,97,238,78,68,180,119,51,77,72,110,60,33,67,105,100,75,76,158,92,2145
2020년 7월,6,8,4,8,5,6,11,9,4,2,6,11,6,14,1,25,5,8,9,17,31,7,15,44,14,276
2020년 6월,3,3,12,9,3,4,14,4,10,43,13,18,8,11,43,33,45,16,27,13,54,14,9,7,11,427
2020년 5월,3,3,20,21,6,3,3,5,9,10,8,7,9,3,6,19,6,3,11,9,16,4,10,11,11,216
2020년 4월,3,2,6,13,3,5,3,9,0,3,3,7,5,9,4,4,2,0,5,8,15,14,26,12,3,164
2020년 3월,2,4,12,3,4,25,12,13,5,6,13,14,9,14,16,20,32,11,18,22,25,20,32,13,6,351
2020년 2월,11,0,0,3,1,1,1,2,0,0,7,7,4,1,1,2,1,1,0,1,3,4,6,12,4,73
